Day,Date,Max-Temp,Min-Temp,Prediction,Wind-Info,Wind-Value
Today,16 Sep, 32°C, 22°C,Clear weather,349°,20 Km/h
Saturday,17 Sep, 33°C, 23°C,Clear weather,10°,26 Km/h
Sunday,18 Sep, 33°C, 21°C,Clear weather,11°,24 Km/h
Monday,19 Sep, 34°C, 22°C,Clear weather,9°,20 Km/h
Tuesday,20 Sep, 34°C, 21°C,Mostly clear,1°,25 Km/h
Wednesday,21 Sep, 34°C, 23°C,Clear weather,319°,27 Km/h
Thursday,22 Sep, 38°C, 23°C,Clear weather,302°,27 Km/h
