Day,Date,Min_Temp,Predtion,Wind_pop_info,Wind_value
Tonight,11 Oct, 19,Clear weather.,360,13
Wednesday,12 Oct, 19,Partly cloudy skies.,341,25
Thursday,13 Oct, 19,Partly cloudy skies. Strong winds.,332,30
Friday,14 Oct, 19,Partly cloudy skies. Strong winds.,332,27
Saturday,15 Oct, 22,Mostly clear.,166,16
Sunday,16 Oct, 20,Mostly clear.,260,25
Monday,17 Oct, 20,Partly cloudy skies.,312,25
