Day,Date,Max-Temp,Min-Temp,Prediction,Wind_val,Wind_Val1
Today,06 Oct, 31, 19,Mostly clear,325,25 Km/h
Friday,07 Oct, 28, 19,Clear weather,315,22 Km/h
Saturday,08 Oct, 28, 19,Mostly clear,328,22 Km/h
Sunday,09 Oct, 30, 19,Partly cloudy skies,311,24 Km/h
Monday,10 Oct, 30, 19,Mostly clear,357,22 Km/h
Tuesday,11 Oct, 30, 19,Clear weather,18,25 Km/h
Wednesday,12 Oct, 31, 20,Partly cloudy skies,349,27 Km/h
