Day,Date,Max-Temp,Min-Temp,Prediction,Wind-Info,Wind-Value
Today,16 Sep, 32, 22,Clear weather,349,20
Saturday,17 Sep, 33, 23,Clear weather,10,26
Sunday,18 Sep, 33, 21,Clear weather,11,24
Monday,19 Sep, 34, 22,Clear weather,9,20
Tuesday,20 Sep, 34, 21,Mostly clear,1,25
Wednesday,21 Sep, 34, 23,Clear weather,319,27
Thursday,22 Sep, 38, 23,Clear weather,302,27
