Points
24
23
20
16
15
14
14
12
11
10
10
10
10
9
9
9
7
6
5
4
54
48
41
40
39
39
37
37
35
34
29
28
27
15
61
51
42
42
38
38
36
36
34
31
29
27
22
17
62
58
53
48
47
46
46
33
31
29
24
20
14
10
