position
"
                                1
                            "
"
                                2
                            "
"
                                3
                            "
"
                                5
                            "
"
                                6
                            "
"
                                7
                            "
"
                                4
                            "
"
                                13
                            "
"
                                8
                            "
"
                                9
                            "
"
                                10
                            "
"
                                11
                            "
"
                                15
                            "
"
                                12
                            "
"
                                17
                            "
"
                                14
                            "
"
                                16
                            "
"
                                18
                            "
"
                                20
                            "
"
                                19
                            "
"
                                1
                            "
"
                                2
                            "
"
                                3
                            "
"
                                4
                            "
"
                                8
                            "
"
                                5
                            "
"
                                6
                            "
"
                                7
                            "
"
                                9
                            "
"
                                10
                            "
"
                                11
                            "
"
                                13
                            "
"
                                12
                            "
"
                                14
                            "
